Temperature - (Celsius), Year, Statistics, Country, ISO3
2.0, 1901, Jan Average, France, FRA
-0.3, 1901, Feb Average, France, FRA
4.5, 1901, Mar Average, France, FRA
9.8, 1901, Apr Average, France, FRA
12.9, 1901, May Average, France, FRA
16.9, 1901, Jun Average, France, FRA
19.1, 1901, Jul Average, France, FRA
18.0, 1901, Aug Average, France, FRA
15.6, 1901, Sep Average, France, FRA
10.5, 1901, Oct Average, France, FRA
4.5, 1901, Nov Average, France, FRA
3.2, 1901, Dec Average, France, FRA
3.8, 1902, Jan Average, France, FRA
2.9, 1902, Feb Average, France, FRA
7.0, 1902, Mar Average, France, FRA
10.4, 1902, Apr Average, France, FRA
9.7, 1902, May Average, France, FRA
15.2, 1902, Jun Average, France, FRA
18.3, 1902, Jul Average, France, FRA
17.3, 1902, Aug Average, France, FRA
14.8, 1902, Sep Average, France, FRA
10.1, 1902, Oct Average, France, FRA
5.7, 1902, Nov Average, France, FRA
2.8, 1902, Dec Average, France, FRA
3.2, 1903, Jan Average, France, FRA
5.5, 1903, Feb Average, France, FRA
7.4, 1903, Mar Average, France, FRA
6.8, 1903, Apr Average, France, FRA
12.7, 1903, May Average, France, FRA
14.8, 1903, Jun Average, France, FRA
17.4, 1903, Jul Average, France, FRA
17.4, 1903, Aug Average, France, FRA
15.4, 1903, Sep Average, France, FRA
12.0, 1903, Oct Average, France, FRA
6.6, 1903, Nov Average, France, FRA
2.3, 1903, Dec Average, France, FRA
2.4, 1904, Jan Average, France, FRA
4.4, 1904, Feb Average, France, FRA
5.4, 1904, Mar Average, France, FRA
10.3, 1904, Apr Average, France, FRA
13.6, 1904, May Average, France, FRA
16.5, 1904, Jun Average, France, FRA
20.3, 1904, Jul Average, France, FRA
18.6, 1904, Aug Average, France, FRA
13.8, 1904, Sep Average, France, FRA
11.0, 1904, Oct Average, France, FRA
5.1, 1904, Nov Average, France, FRA
4.3, 1904, Dec Average, France, FRA
1.2, 1905, Jan Average, France, FRA
3.6, 1905, Feb Average, France, FRA
7.2, 1905, Mar Average, France, FRA
9.2, 1905, Apr Average, France, FRA
11.7, 1905, May Average, France, FRA
16.7, 1905, Jun Average, France, FRA
20.1, 1905, Jul Average, France, FRA
17.7, 1905, Aug Average, France, FRA
14.8, 1905, Sep Average, France, FRA
7.8, 1905, Oct Average, France, FRA
5.4, 1905, Nov Average, France, FRA
3.3, 1905, Dec Average, France, FRA
3.8, 1906, Jan Average, France, FRA
2.8, 1906, Feb Average, France, FRA
5.4, 1906, Mar Average, France, FRA
8.5, 1906, Apr Average, France, FRA
12.7, 1906, May Average, France, FRA
16.0, 1906, Jun Average, France, FRA
18.3, 1906, Jul Average, France, FRA
18.9, 1906, Aug Average, France, FRA
15.3, 1906, Sep Average, France, FRA
12.6, 1906, Oct Average, France, FRA
7.3, 1906, Nov Average, France, FRA
1.7, 1906, Dec Average, France, FRA
2.1, 1907, Jan Average, France, FRA
1.6, 1907, Feb Average, France, FRA
5.9, 1907, Mar Average, France, FRA
8.2, 1907, Apr Average, France, FRA
12.8, 1907, May Average, France, FRA
15.3, 1907, Jun Average, France, FRA
16.5, 1907, Jul Average, France, FRA
18.0, 1907, Aug Average, France, FRA
16.0, 1907, Sep Average, France, FRA
11.7, 1907, Oct Average, France, FRA
7.2, 1907, Nov Average, France, FRA
5.1, 1907, Dec Average, France, FRA
1.1, 1908, Jan Average, France, FRA
4.3, 1908, Feb Average, France, FRA
4.8, 1908, Mar Average, France, FRA
7.4, 1908, Apr Average, France, FRA
14.2, 1908, May Average, France, FRA
17.1, 1908, Jun Average, France, FRA
18.0, 1908, Jul Average, France, FRA
16.9, 1908, Aug Average, France, FRA
14.7, 1908, Sep Average, France, FRA
11.6, 1908, Oct Average, France, FRA
5.8, 1908, Nov Average, France, FRA
3.1, 1908, Dec Average, France, FRA
1.6, 1909, Jan Average, France, FRA
1.6, 1909, Feb Average, France, FRA
4.4, 1909, Mar Average, France, FRA
10.4, 1909, Apr Average, France, FRA
